TITLE: Bill of Materials,,,,,,,,,,,,,,,,,,,
BOM NO: 05-047034-01-d.csv,,,,,,,,,,,,,,,,,,,
DATE: 02/14/2019,,,,,,,,,,,,,,,,,,,
DESIGN: 02_047034d_top,,,,,,,,,,,,,,,,,,,
TEMPLATE: Z:\allegro\v172_site\cdssetup\template.bom,,,,,,,,,,,,,,,,,,,
CALLOUT: C:\tmp\20_047034e\worklib\02_047034d_top\bom\047034a.callouts,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ITEM#,Qty,WW_PN,DESCRIPTION, VALUE,JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG, MFG_PN,HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
57,1,E023318,SWITCH LOW-PROFILE SP3T SLIDE 3POS, CUS-13TB,SWSML382W102H63,N/A,N/A,N/A,S7,NIDEC COPAL ELECTRONICS, CUS-13TB,REL,N/A,N/A,N/A,N/A,N/A,?,?
58,4,E029122,"CONN-PCB 2POS MALE HDR UNSHROUDED SINGLE ROW RA, 2.54MM PITCH, 0.64MM SQ POST", TSW-102-08-F-S-RA,CNTHMHDRRA1X2L200W100H124_A,N/A,N/A,N/A,"TH1,TH2,TH4,TH5",SAMTEC INC., TSW-102-08-F-S-RA,REL,N/A,N/A,N/A,N/A,N/A,?,?
60,1,E029393,IC-ADI ULTRA LOW POWER ARM CORTEX-M4F MCU WITH INTEGRATED POWER MANAGEMENT, ADUCM4050BCPZ,QFN64_9X9_PAD6_2X6_2,N/A,N/A,?,U1,ANALOG DEVICES, ADUCM4050BCPZ,REL,N/A,N/A,N/A,N/A,N/A,?,?
61,4,E002344,IC BUS BUFFER GATE W 3 STATE OUTPUT, SN74LVC1G125DBVT,SOT23-M12,N/A,N/A,?,"U4,U7,U8,U10",TEXAS INSTRUMENTS, SN74LVC1G125DBVT,REL,A005-0012-290,40901JH601,N/A,N/A,N/A,?,?
62,1,E007010,IC-ADI <0.4R CMOS 1.8V TO 5.5V SPST SWITCH, ADG801BRTZ-REEL,SOT23_6,N/A,N/A,?,U12,ADI, ADG801BRTZ-REEL,REL,N/A,40901JH611,ADD_TO_STOCK1,N/A,1003438,?,?
63,1,E027799,IC 4-LINE ESD PROTECTION FOR HIGH SPEED LINES, HSP051-4M10,QFN10_2_5X1,N/A,N/A,?,U2,ST MICROELECTRONICS, HSP051-4M10,REL,N/A,N/A,N/A,N/A,N/A,?,?
64,1,E023640,"IC KINETIS K 32BIT, ARM CORTEX-M4 CORE, 128KB FLASH", MK20DX128VFM5,QFN32_5X5_PAD3_65X3_65,N/A,N/A,?,U3,NXP SEMICONDUCTORS, MK20DX128VFM5,REL,N/A,N/A,N/A,N/A,N/A,?,?
65,1,E013796,"IC-ADI MICROPOWER, DIGITAL OUTPUT MEMS ACCELEROMETER", ADXL362BCCZ,LGA16_B,N/A,N/A,?,U5,ANALOG DEVICES, ADXL362BCCZ-RL7,REL,N/A,N/A,N/A,N/A,1004109,?,?
66,1,E013789,IC-ADI 16-BIT DIGITAL I2C TEMP SENSOR, ADT7420UCPZ-RL7,QFN16_4X4_PAD2_6X2_6,N/A,N/A,?,U6,ANALOG DEVICES, ADT7420UCPZ-RL7,REL,N/A,N/A,N/A,N/A,1004018,?,?
67,1,E024428,"IC-ADI 50MA/500MA, HIGH EFFICIENCY, ULTRALOW POWER STEP-DOWN REGULATOR", ADP5300ACPZ-1,QFN10_3X3_PAD2_38X1_64,N/A,N/A,?,U9,ANALOG DEVICES, ADP5300ACPZ-1-R7,REL,N/A,N/A,N/A,N/A,N/A,?,?
68,1,E001055,"IC CRYSTAL SMD, 12.5PF", 32.7680KHZ,OSCMC306,N/A,N/A,N/A,Y1,SEIKO EPSON CORP, MC-306-32.7680K-A0:ROHS,REL,A005-0001-259,40355JH050,N/A,N/A,1006425,?,?
69,1,E024422,IC CRYSTAL ULTRA MINIATURE CERAMIC GLASS SEALED 10PF, 26.000MEGHZ,YSML126W98H39,+/-30PPM,N/A,N/A,Y2,ABRACON CORP., ABM8G-26.000MHZ-B4Y-T,REL,N/A,N/A,N/A,N/A,N/A,?,?
70,1,E027136,"IC CRYSTAL QUARTZ, 18PF LOAD CAP", 8MEGHZ,YSML449W189H161,10PPM,N/A,N/A,Y3,TXC CORPORATION, 9C-8.000MEEJ-T,REL,N/A,N/A,N/A,N/A,1008225,?,?
,,,,,,,,,,,,,,,,,,,
Callouts File:C:\tmp\20_047034e\worklib\02_047034d_top\bom\047034a.callouts,,,,,,,,,,,,,,,,,,,
Mechanical Parts,,,,,,,,,,,,,,,,,,,
ITEM#,Qty,WW_PN,DESCRIPTION, VALUE,JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG, MFG_PN,HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
2,1,M024472,BAT LITHIUM COIN 3V, ?,N/A,?,?,?,?,PANASONIC, CR2032,REL,N/A,N/A,N/A,N/A,N/A,?,?
3,13,M026727,"SHUNT, 1.27MM PITCH BLACK WITH HANDLE", ?,N/A,?,?,?,?,HARWIN, M50-2000005,REL,ADD_TO_STOCK,N/A,N/A,N/A,N/A,?,?
4,4,M027764,"STANDOFF, FEMALE 5MM HEX M3X0.5 8MM LENGTH, NYLON", ?,N/A,?,?,?,?,KEYSTONE,25509,REL,N/A,N/A,N/A,N/A,N/A,?,?
5,4,M027766,"SCREW, PAN SLOTTED M3X0.5 6MM LENGTH, NYLON", ?,N/A,?,?,?,?,KEYSTONE,29341,REL,N/A,N/A,N/A,N/A,N/A,?,?
6,4,M029337,"JUMPER OPEN/CLOSE TOP, 2.54MM CONTACT CENTER, BLACK", ?,N/A,?,?,?,?,SULLINS, QPC02SXGN-RC,REL,N/A,N/A,N/A,N/A,N/A,?,?
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
The following components are part of the PCB or are NOT to be installed,,,,,,,,,,,,,,,,,,,
ITEM#,Qty,WW_PN,DESCRIPTION, VALUE,JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG, MFG_PN,HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
45,4,E027588,RES THICK FILM CURRENT SENSING,0.05,R1206-2,1,N/A,1/2W,"R16,R40,R43,R44","STACKPOLE ELECTRONICS, INC.", CSR1206FK50L0,REL,N/A,N/A,N/A,N/A,N/A,?,DNI
51,1,E003452,RES PRECISION THICK FILM CHIP,33,R0402,5,N/A,1/10W,R31,PANASONIC, ERJ-2GEJ330X,REL,A003-0021-016,41816DG861,N/A,N/A,N/A,?,DNI
52,2,E003464,RES THICK FILM CHIP, 100K,R0402,5,N/A,1/10W,"R37,R68",PANASONIC, ERJ-2GEJ104X,REL,N/A,N/A,N/A,N/A,7005773,?,DNI
54,3,E003438,RES CHIP SMD JMPR,0,R0402,5,N/A,N/A,"R50,R51,R64",PANASONIC, ERJ-2GE0R00X,REL,A003-0021-001,N/A,N/A,1138_CAB3,7000282,?,DNI
59,1,E029122,"CONN-PCB 2POS MALE HDR UNSHROUDED SINGLE ROW RA, 2.54MM PITCH, 0.64MM SQ POST", TSW-102-08-F-S-RA,CNTHMHDRRA1X2L200W100H124_A,N/A,N/A,N/A,TH3,SAMTEC INC., TSW-102-08-F-S-RA,REL,N/A,N/A,N/A,N/A,N/A,?,DNI
